Entry	Entry name	Protein names	Gene names	Gene ontology (GO)	Gene ontology (molecular function)
Q9BRS2	RIOK1_HUMAN	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	RIOK1 RIO1	cytosol [GO:0005829]; methyltransferase complex [GO:0034708]; nucleoplasm [GO:0005654]; preribosome, small subunit precursor [GO:0030688]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; maturation of SSU-rRNA [GO:0030490]; positive regulation of rRNA processing [GO:2000234]; ribosomal small subunit biogenesis [GO:0042274]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]
Q05823	RN5A_HUMAN	2-5A-dependent ribonuclease (2-5A-dependent RNase) (EC 3.1.26.-) (Ribonuclease 4) (Ribonuclease L) (RNase L)	RNASEL RNS4	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; ATP binding [GO:0005524]; endoribonuclease activity [GO:0004521]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]; defense response to virus [GO:0051607]; mRNA processing [GO:0006397]; negative regulation of viral genome replication [GO:0045071]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of type I interferon-mediated signaling pathway [GO:0060338]; type I interferon signaling pathway [GO:0060337]	ATP binding [GO:0005524]; endoribonuclease activity [GO:0004521]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; RNA binding [GO:0003723]
Q9BXA7	TSSK1_HUMAN	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; motile cilium [GO:0031514]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; spermatid development [GO:0007286]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]
Q9BXA6	TSSK6_HUMAN	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	TSSK6 SSTK FKSG82	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; peptidyl-serine phosphorylation [GO:0018105]; protein phosphorylation [GO:0006468]; sperm chromatin condensation [GO:0035092]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein serine/threonine kinase activity [GO:0004674]
Q86UW6	N4BP2_HUMAN	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)	N4BP2 B3BP KIAA1413	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; endonuclease activity [GO:0004519]	ATP binding [GO:0005524]; ATP-dependent polydeoxyribonucleotide 5'-hydroxyl-kinase activity [GO:0046404]; endonuclease activity [GO:0004519]
Q3LXA3	TKFC_HUMAN	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	TKFC DAK	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]; ATP binding [GO:0005524]; FAD-AMP lyase (cyclizing) activity [GO:0034012]; glycerone kinase activity [GO:0004371]; metal ion binding [GO:0046872]; triokinase activity [GO:0050354]; carbohydrate phosphorylation [GO:0046835]; cellular carbohydrate metabolic process [GO:0044262]; fructose catabolic process to hydroxyacetone phosphate and glyceraldehyde-3-phosphate [GO:0061624]; glycerol catabolic process [GO:0019563]; innate immune response [GO:0045087]; negative regulation of MDA-5 signaling pathway [GO:0039534]; regulation of innate immune response [GO:0045088]	ATP binding [GO:0005524]; FAD-AMP lyase (cyclizing) activity [GO:0034012]; glycerone kinase activity [GO:0004371]; metal ion binding [GO:0046872]; triokinase activity [GO:0050354]
Q6SA08	TSSK4_HUMAN	Testis-specific serine/threonine-protein kinase 4 (TSK-4) (TSSK-4) (Testis-specific kinase 4) (EC 2.7.11.1) (Serine/threonine-protein kinase 22E)	TSSK4 C14orf20 STK22E TSSK5	acrosomal vesicle [GO:0001669]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; sperm flagellum [GO:0036126]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]; fertilization [GO:0009566]; intracellular signal transduction [GO:0035556]; multicellular organism development [GO:0007275]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine autophosphorylation [GO:1990443]; positive regulation of CREB transcription factor activity [GO:0032793]; protein phosphorylation [GO:0006468]; spermatid development [GO:0007286]	ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]
P33981	TTK_HUMAN	Dual specificity protein kinase TTK (EC 2.7.12.1) (Phosphotyrosine picked threonine-protein kinase) (PYT)	TTK MPS1 MPS1L1	cytoplasm [GO:0005737]; kinetochore [GO:0000776]; membrane [GO:0016020]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; protein homodimerization activity [GO:0042803]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; chromosome segregation [GO:0007059]; chromosome separation [GO:0051304]; female meiosis chromosome segregation [GO:0016321]; meiotic spindle assembly checkpoint [GO:0033316]; mitotic spindle assembly checkpoint [GO:0007094]; mitotic spindle organization [GO:0007052]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; protein autophosphorylation [GO:0046777]; protein localization to kinetochore [GO:0034501]; protein localization to meiotic spindle midzone [GO:1903096]; spindle organization [GO:0007051]	ATP binding [GO:0005524]; kinetochore binding [GO:0043515]; protein homodimerization activity [GO:0042803]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
Q9Y3D8	KAD6_HUMAN	Adenylate kinase isoenzyme 6 (AK6) (EC 2.7.4.3) (Adrenal gland protein AD-004) (Coilin-interacting nuclear ATPase protein) (hCINAP) (Dual activity adenylate kinase/ATPase) (AK/ATPase)	AK6 CINAP AD-004 CGI-137	Cajal body [GO:0015030]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; adenylate kinase activity [GO:0004017]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; nucleoside monophosphate kinase activity [GO:0050145]; nucleobase-containing small molecule interconversion [GO:0015949]	adenylate kinase activity [GO:0004017]; ATPase activity [GO:0016887]; ATP binding [GO:0005524]; nucleoside monophosphate kinase activity [GO:0050145]
Q02846	GUC2D_HUMAN	Retinal guanylyl cyclase 1 (RETGC-1) (EC 4.6.1.2) (CG-E) (Guanylate cyclase 2D, retinal) (Rod outer segment membrane guanylate cyclase) (ROS-GC)	GUCY2D CORD6 GUC1A4 GUC2D RETGC RETGC1	endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; nuclear outer membrane [GO:0005640]; photoreceptor disc membrane [GO:0097381]; photoreceptor outer segment [GO:0001750]; photoreceptor outer segment membrane [GO:0042622]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]; cGMP biosynthetic process [GO:0006182]; intracellular signal transduction [GO:0035556]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of rhodopsin mediated signaling pathway [GO:0022400]; signal transduction [GO:0007165]; visual perception [GO:0007601]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein homodimerization activity [GO:0042803]; protein kinase activity [GO:0004672]; signaling receptor activity [GO:0038023]
